customer_id,first_name,last_name,email,phone,address,city,state,zip_code,registration_date,date_of_birth,risk_profile,employment_status,annual_income,credit_score,is_fraudulent
C0015,Timothy,Rodriguez,timothy.rodriguez@email.com,555-391-6250,343 Orozco Trail Apt. 505,South Ruben,AR,13689,2021-04-24,1962-01-09,Moderate,Employed,36433,632,False
C0016,Antonio,Nelson,antonio.nelson@email.com,555-740-6591,03840 Kiara Fords Suite 577,New Brittanyport,MO,22759,2020-05-26,1975-06-25,Aggressive,Unemployed,37015,624,False
C0017,Gary,Walker,gary.walker@email.com,555-706-2391,052 Lauren Neck Apt. 146,East Scottton,VT,18585,2019-09-17,1965-02-18,,Employed,41905,517,False
C0018,Pamela,Schmidt,pamela.schmidt@email.com,555-531-5368,00088 Wall Parks Apt. 857,Port Nicole,AK,71564,2021-04-19,1960-12-30,Moderate,Unemployed,30000,622,False
C0019,Amanda,Johnson,amanda.johnson@email.com,555-791-4373,0811 Crystal Ports,Hansenton,MI,75107,2020-10-26,1996-05-25,Conservative,Self-Employed,50990,659,False
C0020,Paul,Mcintosh,paul.mcintosh@email.com,555-306-9142,86182 Cody Harbor,Jesseside,SD,19872,2021-01-02,1969-08-08,,Employed,57211,735,False
C0021,Matthew,Montgomery,matthew.montgomery@email.com,555-444-5478,805 Robert Squares Suite 620,Wrightborough,CA,84242,2020-12-23,1981-04-26,,Employed,76847,649,False
C0022,Katherine,Flores,katherine.flores@email.com,555-923-5913,5065 Walters Plain Suite 952,South Kathrynville,NV,96960,2021-01-10,1974-01-20,,Employed,58862,581,False
C0023,Sydney,Torres,sydney.torres@email.com,555-742-9457,983 Smith Corner Apt. 743,West Eric,ID,85608,2020-10-19,1969-07-21,,Employed,39572,778,False
C0024,Adrian,Herrera,adrian.herrera@email.com,555-544-1981,8939 Jasmine Well Apt. 749,Douglasfurt,ND,36299,2020-01-17,1980-09-29,,Employed,30661,693,False
C0025,Kevin,Mclean,kevin.mclean@email.com,555-165-4335,8054 Tina Tunnel Apt. 858,Port Richardfort,NE,44987,2019-08-11,1988-12-23,Moderate,Employed,96474,722,False
C0026,Michael,Finley,michael.finley@email.com,555-128-5023,47604 Aaron Loaf,Alexanderville,MD,70838,2020-09-21,1985-02-10,,Unemployed,30000,757,False
C0027,Dawn,Stevens,dawn.stevens@email.com,555-364-5551,40025 Garrison Haven Suite 814,South Sarahborough,TX,82182,2018-12-27,1988-11-25,,Retired,116321,831,False
C0028,Darrell,Schultz,darrell.schultz@email.com,555-165-7668,8335 Price Trail Apt. 258,Carterfurt,MS,98037,2021-09-08,1999-09-24,,Employed,106135,691,False
C0029,Brandon,Flynn,brandon.flynn@email.com,555-637-5125,0861 Mcdowell Extensions Suite 141,East Cherylton,NY,21829,2019-05-03,1986-11-27,,Employed,120079,690,False
C0030,Heather,Williams,heather.williams@email.com,555-866-4865,40650 William Burgs,South Nicole,NV,38574,2018-10-23,1964-10-16,,Employed,204080,686,False
C0031,Austin,Martinez,austin.martinez@email.com,555-816-2850,8355 Melissa Valleys Apt. 700,Allenview,MA,81531,2020-05-17,1981-04-20,Moderate,Employed,151955,696,False
C0032,Haley,Perry,haley.perry@email.com,555-121-1570,840 Hernandez Radial Apt. 525,Jessicaborough,WV,96798,2018-04-22,1990-12-25,Aggressive,Retired,79188,535,False
C0033,Cody,Lambert,cody.lambert@email.com,555-471-2999,649 Bauer Camp,Andersonland,OH,40983,2020-06-25,1977-06-04,Aggressive,Employed,153962,797,False
C0034,Lisa,Richard,lisa.richard@email.com,555-264-8190,81235 Catherine Turnpike,West Brandonchester,SD,51573,2021-08-12,1978-03-23,,Self-Employed,70236,633,False
C0035,Tanya,Grimes,tanya.grimes@email.com,555-582-7765,432 Keith Mall Apt. 214,Sarahland,MI,65360,2018-07-25,1996-12-23,,Employed,57484,621,False
C0036,Lisa,Taylor,lisa.taylor@email.com,555-564-1448,606 Jennifer Walk,New Benjamin,WI,16828,2021-08-06,1988-10-11,Moderate,Employed,63763,760,False
C0037,Jennifer,Brown,jennifer.brown@email.com,555-412-6140,9533 Leslie Trail Apt. 426,Lake Thomas,OR,20778,2018-08-15,1967-01-29,,Employed,227872,697,False
C0038,Brian,Murphy,brian.murphy@email.com,555-967-7722,08049 Smith Manor,Simmonschester,DC,51864,2020-07-13,1981-06-16,Aggressive,Retired,31733,639,False
C0039,Robert,Lam,robert.lam@email.com,555-286-7447,9860 Brown Wells Suite 776,Grahambury,MO,84762,2019-04-05,1960-12-05,,Retired,213900,655,False
C0040,Jenny,Perry,jenny.perry@email.com,555-972-3764,1322 Alisha Mission,South Vanessahaven,AR,62564,2021-06-19,1979-03-29,,Employed,34222,726,False
C0041,Melissa,Barr,melissa.barr@email.com,555-891-8433,760 Romero Common Apt. 295,Thompsonmouth,UT,74769,2018-08-31,1970-01-25,,Self-Employed,109386,671,False
C0042,Victoria,Castillo,victoria.castillo@email.com,555-943-5636,12469 Strong Spring,Jamesbury,WA,98760,2019-01-23,1978-10-06,Moderate,Employed,70131,645,False
C0043,Daniel,Morgan,daniel.morgan@email.com,555-187-1169,5177 Steven Estates Apt. 898,Cynthiafort,NM,27459,2019-10-25,1991-02-01,Moderate,Employed,46386,648,False
C0044,Andrew,Perry,andrew.perry@email.com,555-174-2561,9835 Guzman Expressway,South Martin,OK,17700,2018-04-17,1974-12-06,,Retired,55127,788,False
C0045,Grace,Moore,grace.moore@email.com,555-712-1745,44266 Christopher Row Apt. 558,East Johnview,AL,43247,2020-10-30,1987-10-18,,Employed,35056,657,False
C0046,Joel,Jones,joel.jones@email.com,555-643-8093,386 Matthew Alley Apt. 037,New Wendy,GA,44131,2018-08-28,1974-01-19,,Employed,363339,767,False
C0047,Anita,Morton,anita.morton@email.com,555-997-5312,930 Smith Isle Apt. 418,Michelleville,SC,44571,2020-11-24,1974-01-15,Moderate,Employed,30000,728,False
C0048,Tina,Cook,tina.cook@email.com,555-669-8208,69077 Michael Flats Suite 918,New Kelly,AR,34762,2018-11-01,1962-06-13,,Employed,39318,658,False
C0049,Kayla,Henry,kayla.henry@email.com,555-606-1668,4234 Tina Avenue Suite 961,Marcusshire,NH,56729,2021-12-23,1985-02-27,,Employed,63751,733,False
C0050,Eric,Alvarado,eric.alvarado@email.com,555-390-3959,2471 Banks Avenue Apt. 325,Lake Baileychester,HI,76681,2019-07-13,1985-04-07,,Retired,79779,653,False
C0051,Brittney,Smith,brittney.smith@email.com,555-284-7822,18974 Christopher Extension Suite 908,East Stevenberg,CA,42264,2020-10-17,1990-05-13,,Employed,65931,712,False
C0052,Eddie,Cuevas,eddie.cuevas@email.com,555-208-6300,2956 Mooney Coves Suite 758,Lake Reginastad,GA,13784,2018-06-16,1980-08-23,,Self-Employed,98163,712,False
C0053,April,Lopez,april.lopez@email.com,555-105-6397,13997 Oneal Mall Suite 141,South Jenniferborough,AZ,96005,2021-06-28,1980-04-28,,Employed,200902,799,False
C0054,Robert,Brown,robert.brown@email.com,555-920-5635,3504 May Pine,North Sarahburgh,MA,17279,2018-05-25,1984-07-17,,Unemployed,35305,643,False
C0055,Cheryl,Stewart,cheryl.stewart@email.com,555-508-2461,0844 Yang Meadows,Lake Cody,AK,37292,2018-11-30,1977-06-05,,Self-Employed,35199,664,False
C0056,Traci,Johnson,traci.johnson@email.com,555-853-6080,149 Smith Square Suite 621,Georgemouth,UT,89103,2018-09-26,1976-02-08,,Employed,151231,595,False
C0057,Kristin,Mckenzie,kristin.mckenzie@email.com,555-587-5398,7086 Christopher Loop Suite 893,Jasonville,OR,88687,2020-05-16,1964-01-18,,Self-Employed,167731,738,False
C0058,Linda,Santiago,linda.santiago@email.com,555-195-1662,8317 Lee Run,New Gabrielle,NC,54793,2020-08-07,1990-05-05,,Employed,108681,578,False
C0059,Lauren,Sawyer,lauren.sawyer@email.com,555-579-8165,004 Rowland Ports Apt. 007,Torresstad,CO,72601,2019-09-08,1966-08-31,,Unemployed,36494,718,False
C0060,Ryan,Hall,ryan.hall@email.com,555-148-2253,96911 Melissa Lodge Apt. 820,South Abigail,AZ,77294,2018-08-09,1982-11-27,,Employed,33029,642,False
C0061,Erika,Gomez,erika.gomez@email.com,555-887-9248,4530 Carey Bridge,Port Christophershire,AK,24933,2021-09-16,1980-10-05,,Employed,46673,646,False
C0062,James,Thomas,james.thomas@email.com,555-821-5876,79253 Burton Court,New Christopher,MA,86966,2020-07-20,1993-12-21,,Employed,79586,850,False
C0063,Lauren,Davis,lauren.davis@email.com,555-180-5248,58850 Martinez Knolls Suite 482,South Michael,UT,23936,2020-06-07,1983-12-21,Moderate,Employed,67214,683,False
C0064,Mason,Carlson,mason.carlson@email.com,555-514-8974,970 Morris Plaza,West Mark,MD,91067,2021-06-17,1976-03-07,Conservative,Employed,90190,634,False
C0065,Alicia,Perkins,alicia.perkins@email.com,555-214-1260,6895 James Court Suite 978,East Carolineborough,VT,34670,2018-02-24,1969-05-21,,Employed,53636,784,False
C0066,Leah,Murray,leah.murray@email.com,555-408-8592,640 Amy Cliff Apt. 044,Ruizville,GA,72126,2020-05-14,1960-12-23,,Employed,68704,569,False
C0067,Eugene,Fuller,eugene.fuller@email.com,555-699-4975,594 Crystal Heights Suite 723,New Virginia,IL,48644,2021-03-12,1997-03-16,,Self-Employed,143382,831,False
C0068,Lisa,Riley,lisa.riley@email.com,555-848-5764,059 Moore Lights,Lake Marialand,AZ,73897,2020-03-29,1981-10-21,Aggressive,Employed,58916,662,False
C0069,Matthew,Johnson,matthew.johnson@email.com,555-423-2040,5586 Nathan Mill Suite 536,South Melissastad,LA,94974,2020-05-04,1999-11-19,,Employed,68690,796,False
C0070,Christopher,Greer,christopher.greer@email.com,555-121-3643,400 Baker Island Apt. 107,West Raymondbury,ME,35192,2020-08-19,1975-06-04,,Employed,66982,657,False
C0071,Anthony,Spencer,anthony.spencer@email.com,555-400-7395,5634 Steele Fall,East Thomas,NE,98225,2021-08-29,1992-12-13,Aggressive,Employed,32472,528,False
C0072,Marissa,Walker,marissa.walker@email.com,555-389-2412,692 Erin Gardens,Hamiltonshire,TX,73293,2018-09-22,1967-10-10,,Employed,75928,499,False
C0073,Luis,Walker,luis.walker@email.com,555-670-1770,5963 Barnett Island,East Elizabethville,AK,57026,2019-06-19,1976-01-06,,Employed,71523,849,False
C0074,Malik,Fox,malik.fox@email.com,555-732-4714,838 Phillips Track Suite 401,North Sharon,DE,83660,2019-04-04,1981-10-25,,Employed,64140,846,False
C0075,Shannon,Bautista,shannon.bautista@email.com,555-973-9444,5964 Kelley Hills Apt. 505,West Michelemouth,RI,97750,2018-08-02,1991-09-08,Conservative,Employed,168872,753,False
C0076,James,Lara,james.lara@email.com,555-142-9311,872 Miller Prairie,Danielmouth,CT,31895,2021-07-14,1965-04-18,,Retired,30000,716,False
C0077,Mary,Reynolds,mary.reynolds@email.com,555-762-6959,5713 Huff Key Suite 284,Bethburgh,MI,28058,2018-09-09,1998-01-24,,Employed,86141,717,False
C0078,Karen,Johnson,karen.johnson@email.com,555-469-5021,355 Phillip Highway,South Kaylee,GA,79422,2020-05-13,1995-04-24,,Employed,127360,664,False
C0079,Jeffrey,Moore,jeffrey.moore@email.com,555-972-9456,998 Olson Inlet Suite 009,East Sara,DC,99417,2020-01-11,1961-05-02,,Employed,208564,781,False
C0080,Rachel,Cooke,rachel.cooke@email.com,555-186-6542,3083 Pamela Crescent Suite 520,Mendozaland,MA,62645,2018-12-03,1979-06-21,Conservative,Employed,171935,594,False
C0081,Lauren,Harmon,lauren.harmon@email.com,555-830-9516,03313 Gutierrez Village,Spencerchester,ME,64959,2020-04-03,1999-09-25,Aggressive,Employed,97311,537,False
C0082,Melissa,Mcpherson,melissa.mcpherson@email.com,555-452-1129,75119 Morales Stream,West Richard,LA,79178,2021-06-04,1966-08-03,,Self-Employed,69217,592,False
C0083,Andrew,Reyes,andrew.reyes@email.com,555-931-7627,768 Butler Walks,East Amy,WY,35859,2019-09-10,1963-10-12,,Employed,48349,657,False
C0084,Ashley,Sexton,ashley.sexton@email.com,555-632-9860,47514 Smith Glen Apt. 395,New Danielle,ME,38014,2018-07-10,1982-12-14,,Employed,99279,692,False
C0085,Julie,Wagner,julie.wagner@email.com,555-364-4954,10646 Mitchell Trafficway Apt. 801,Brownville,WY,49838,2020-05-15,1982-08-31,Moderate,Employed,36419,681,False
C0086,Karen,Smith,karen.smith@email.com,555-148-3043,32283 Kelly Orchard,West Michaelport,NH,49054,2021-03-18,1993-01-19,Moderate,Employed,60372,718,False
C0087,Cassandra,Clark,cassandra.clark@email.com,555-831-9737,68197 Melanie Cape,Huberberg,RI,40649,2019-12-19,1973-06-03,Aggressive,Employed,248348,572,False
C0088,James,Roberts,james.roberts@email.com,555-486-9514,795 Valencia Square Apt. 850,South Alexa,WV,42457,2018-08-04,1974-09-15,,Employed,30471,684,False
C0089,Trevor,Deleon,trevor.deleon@email.com,555-183-2511,741 Stephen Course Apt. 270,Port Blake,AR,65690,2018-09-24,1981-05-12,,Employed,72070,686,False
C0090,Marissa,David,marissa.david@email.com,555-370-9172,0437 Melinda Manors Suite 246,Lake Raymond,SD,65498,2020-06-20,1990-11-27,Aggressive,Retired,33127,698,False
C0091,Gabriel,Hurst,gabriel.hurst@email.com,555-821-9408,09560 Oconnor Mission,Lewisville,ND,25474,2021-11-23,1969-07-15,Conservative,Employed,158109,667,False
C0092,Katie,Love,katie.love@email.com,555-518-2807,1414 Sanchez Plaza,Tonyville,DE,58442,2021-03-16,1972-12-27,,Employed,36371,799,False
C0093,Albert,Gibson,albert.gibson@email.com,555-246-3328,1203 John Villages Apt. 292,South Sandra,DC,87283,2020-05-13,1962-03-08,,Retired,35760,707,False
C0094,Joseph,Ross,joseph.ross@email.com,555-225-9970,109 Gabrielle Ford Apt. 150,West Ashley,MN,18855,2018-04-02,1978-09-24,,Employed,63822,633,False
C0095,Craig,Cohen,craig.cohen@email.com,555-720-3175,4720 Martin Mill,Elizabethton,WI,28156,2020-10-30,1988-07-19,,Employed,59277,786,False
C0096,Chad,Wu,chad.wu@email.com,555-739-7711,6938 Gonzalez View,North Adrian,MO,40516,2020-03-20,1975-03-17,Aggressive,Employed,173380,758,False
C0097,David,Townsend,david.townsend@email.com,555-890-6060,7935 Roberts Estate,Michaelshire,OK,94562,2018-09-11,1988-11-18,Conservative,Employed,32744,642,False
C0098,Joseph,Lopez,joseph.lopez@email.com,555-683-9548,2007 Smith Island Apt. 831,Port Paulahaven,IL,72368,2020-10-26,2000-03-25,,Employed,106213,709,False
C0099,Rhonda,Cooper,rhonda.cooper@email.com,555-310-5018,2343 Melissa Plains Suite 926,East Shannonmouth,VA,85963,2020-06-28,1963-10-18,,Self-Employed,95065,837,False
C0100,Jose,Castro,jose.castro@email.com,555-284-7798,97604 Thomas Forges Apt. 596,South Erica,AK,79193,2019-10-12,1977-02-18,,Employed,50322,719,False
C0101,Stacy,Green,stacy.green@email.com,555-414-7672,13265 Thomas Junctions,Lake Brandon,UT,32176,2018-05-01,1987-07-25,Moderate,Unemployed,30000,712,False
C0102,Brandon,Sanchez,brandon.sanchez@email.com,555-431-5225,646 Lee Mountain Suite 991,Andrealand,MO,25855,2018-04-17,1969-01-31,,Employed,98447,719,False
C0103,Michael,Rose,michael.rose@email.com,555-494-2885,99193 Cooper Motorway,North Johnside,LA,17947,2019-10-14,1980-11-06,,Employed,369041,729,False
C0104,Kelly,Reilly,kelly.reilly@email.com,555-700-2663,5213 Emily Ridge,Emilyhaven,KS,82706,2021-08-27,1995-03-22,Moderate,Employed,85139,662,False
C0105,Rebecca,Vega,rebecca.vega@email.com,555-901-3332,634 David Fall,East Nicholastown,MS,80836,2018-12-11,1995-01-29,,Employed,93436,758,False
C0106,Amber,Bell,amber.bell@email.com,555-271-1008,79592 Walls Summit,Greenview,AR,73201,2019-07-14,1986-10-26,Aggressive,Employed,142957,503,False
C0107,Stephanie,Santiago,stephanie.santiago@email.com,555-146-3644,77106 Hill Hollow,Stephenland,WV,80004,2021-02-27,1963-02-19,,Employed,68030,782,False
C0108,Steven,Porter,steven.porter@email.com,555-315-9270,4879 Beltran Mountain,New Haroldville,MA,99404,2019-12-03,1988-06-28,Moderate,Employed,120633,724,False
C0109,Tonya,Pena,tonya.pena@email.com,555-449-4450,323 Martin Terrace,Ralphside,NJ,88579,2019-11-04,1960-09-17,Conservative,Retired,57646,850,False
C0110,Jessica,Morris,jessica.morris@email.com,555-906-2270,009 Jones Harbors,Barrettshire,OH,14056,2021-10-07,1979-12-20,Aggressive,Employed,36280,711,False
C0111,Shelby,Horton,shelby.horton@email.com,555-931-1138,533 Ashley Land Suite 461,Patriciatown,DE,70646,2020-01-29,1968-08-27,Moderate,Employed,63859,681,False
C0112,Suzanne,Robertson,suzanne.robertson@email.com,555-835-4623,395 Carolyn Valleys,Kellymouth,IA,74724,2020-01-14,1961-08-25,Conservative,Employed,48019,696,False
C0113,Lindsey,Bass,lindsey.bass@email.com,555-990-5544,53886 Brandy Valley,New Kennethmouth,OR,75578,2020-10-08,1967-08-25,,Employed,105997,661,False
C0114,Nathan,Gordon,nathan.gordon@email.com,555-863-2065,04197 Anne Common,West Julie,FL,44029,2021-03-13,1998-05-17,,Employed,85280,618,False
C0115,Andrew,Lee,andrew.lee@email.com,555-123-9731,6696 John Dam Apt. 041,New Michael,SC,43150,2021-10-26,1985-02-14,,Retired,30000,636,False
C0116,Erika,Munoz,erika.munoz@email.com,555-516-5489,705 Paula Crest Suite 649,East Donald,DE,99151,2020-11-27,1980-12-05,Moderate,Employed,76406,717,False
C0117,Keith,Jones,keith.jones@email.com,555-530-9723,702 Daniel Neck Suite 410,Lake Jessicaville,NH,51450,2018-01-11,1977-07-30,Conservative,Employed,31442,677,False
C0118,Ruth,Allen,ruth.allen@email.com,555-331-7943,3477 Aaron Parks,Guerrerotown,CA,42765,2019-02-08,1967-05-18,,Employed,31880,736,False
C0119,Mark,Fisher,mark.fisher@email.com,555-442-5102,677 Kendra Manor Suite 290,New Kennethmouth,KS,24134,2020-08-27,1970-09-10,,Unemployed,42725,794,False
C0120,Robert,Baker,robert.baker@email.com,555-692-3045,483 Maureen Roads Suite 525,West Christopher,CO,17954,2018-03-10,1976-12-05,,Employed,80913,746,False
C0121,Ricardo,Reynolds,ricardo.reynolds@email.com,555-204-1914,875 Perry Expressway Suite 855,Bakerland,OK,16842,2019-08-27,1998-02-15,,Employed,35608,718,False
C0122,Anthony,Hamilton,anthony.hamilton@email.com,555-538-2659,946 Miller Park,Lake Jason,MI,95317,2021-10-15,1995-02-13,Conservative,Employed,68158,696,False
C0123,Marcus,Nguyen,marcus.nguyen@email.com,555-709-2106,3305 Willie Summit Suite 889,Angelabury,PA,35377,2021-03-19,1965-08-26,Moderate,Employed,48629,656,False
C0124,Virginia,Stewart,virginia.stewart@email.com,555-348-3255,908 Timothy Avenue,Port Mark,AZ,17928,2018-09-19,1973-12-24,,Employed,90302,630,False
C0125,Jennifer,Finley,jennifer.finley@email.com,555-250-8692,136 Crystal Trail Suite 834,South Melanie,MD,89079,2019-12-04,1973-01-20,,Employed,91120,606,False
C0126,Brandon,Olsen,brandon.olsen@email.com,555-979-1894,97263 Duncan Mission Apt. 840,Castrohaven,NV,55064,2019-02-05,1968-12-26,,Employed,48433,679,False
C0127,Frances,Hogan,frances.hogan@email.com,555-714-6425,623 Juarez Ville,East Erin,PA,84199,2019-11-19,1987-08-21,Moderate,Employed,61585,627,False
C0128,Janet,Jarvis,janet.jarvis@email.com,555-607-4594,216 Schroeder Parkway,New Jason,AL,93724,2019-04-02,1991-02-04,,Employed,99000,658,False
C0129,Abigail,White,abigail.white@email.com,555-484-4363,520 Jessica Summit Apt. 856,Emilyfort,MT,34149,2018-01-14,1976-04-10,Conservative,Employed,49039,512,False
C0130,Ebony,Robinson,ebony.robinson@email.com,555-299-6896,3988 Green Estates,Port Trevorland,AZ,13890,2019-02-12,1968-11-15,Aggressive,Employed,55705,765,False
C0131,Amanda,Young,amanda.young@email.com,555-122-3884,93445 James Neck,Brianhaven,KY,23263,2018-02-12,1997-04-18,,Employed,44744,809,False
C0132,Christopher,Ray,christopher.ray@email.com,555-315-5998,1294 Eric Crossing Suite 042,Lake Darrell,NJ,41476,2020-01-28,1996-04-23,,Employed,37629,761,False
C0133,Edwin,Palmer,edwin.palmer@email.com,555-166-2941,1823 Peter Point,Mezaberg,GA,27143,2019-01-24,1968-08-06,Moderate,Employed,100564,643,False
C0134,Cynthia,Alexander,cynthia.alexander@email.com,555-147-4098,07161 Mckenzie Port,Amytown,OH,48559,2018-11-01,1974-09-12,,Employed,90250,770,False
C0135,Shawn,Alvarez,shawn.alvarez@email.com,555-698-9011,95511 Michael Drive,New Jerry,IN,20670,2020-08-21,1995-06-25,,Employed,36182,748,False
C0136,Jackie,Stafford,jackie.stafford@email.com,555-869-9342,2088 Kathleen Unions Apt. 845,Martinezburgh,MS,75350,2020-11-28,1980-10-28,,Employed,107460,531,False
C0137,Kelly,Hampton,kelly.hampton@email.com,555-510-1599,9283 Smith Roads Suite 074,Hawkinsville,IN,38773,2019-02-20,1980-04-11,,Retired,47166,780,False
C0138,Joshua,Mcconnell,joshua.mcconnell@email.com,555-483-5170,8373 Carlos Gardens,Heatherburgh,OK,21109,2018-10-03,1993-09-18,,Employed,58940,670,False
C0139,Lauren,Harris,lauren.harris@email.com,555-624-6511,004 Robert Drives Suite 710,Lake Jonathanchester,NV,69133,2020-08-15,1979-05-27,Conservative,Employed,107180,677,False
C0140,Brittany,Mccoy,brittany.mccoy@email.com,555-177-6883,122 Michelle Junction Suite 258,North Christopher,CO,48603,2020-10-24,1983-01-01,Moderate,Employed,41157,724,False
C0141,James,Vega,james.vega@email.com,555-468-1627,200 Holly Neck Suite 005,Blackburnside,OH,36254,2019-11-15,1968-10-26,,Employed,36111,713,False
C0142,Aaron,Carter,aaron.carter@email.com,555-381-4123,3728 David Corners Suite 626,Laurenmouth,VA,89171,2018-10-10,1998-05-09,,Self-Employed,62271,628,False
C0143,Laura,Williams,laura.williams@email.com,555-879-3445,44031 Leblanc Mills,Garciatown,MT,39829,2019-04-10,1992-06-12,Conservative,Self-Employed,71141,679,False
C0144,Jaclyn,Patrick,jaclyn.patrick@email.com,555-839-8559,9391 Johnson Expressway Apt. 869,Port Kimberly,MI,21255,2019-10-04,1997-12-09,Aggressive,Employed,218739,711,False
C0145,Benjamin,Reyes,benjamin.reyes@email.com,555-242-3102,36622 Bender Manors Suite 406,New Michelleburgh,MD,11268,2020-10-20,1996-05-08,,Employed,70183,761,False
C0146,Katelyn,Davis,katelyn.davis@email.com,555-513-9808,8521 Joseph Path Apt. 915,Aaronfurt,MD,52739,2021-04-17,1961-01-15,,Employed,106372,680,False
C0147,Ronald,Allen,ronald.allen@email.com,555-500-7247,27133 Eric Forges Suite 949,West Jacob,IN,61201,2018-05-11,1983-12-23,,Employed,80158,806,False
C0148,Alexis,Garcia,alexis.garcia@email.com,555-206-3910,9887 Hudson Mountains Suite 326,Port Richard,AZ,89084,2020-09-27,1961-03-15,Moderate,Employed,56112,708,False
C0149,Tammy,Barker,tammy.barker@email.com,555-158-7039,48194 Russell Way Apt. 513,Shannonbury,ND,11447,2018-12-18,1974-08-28,,Retired,41675,777,False
C0150,Mitchell,Flores,mitchell.flores@email.com,555-170-7373,1346 Dennis Spurs,Lake Sandy,IN,27030,2019-02-26,1973-11-23,Conservative,Employed,109157,802,False
C0151,Emily,Cruz,emily.cruz@email.com,555-417-4325,07529 Hoover Key,East Joshua,NC,99762,2020-07-28,1972-05-09,,Employed,205245,739,False
C0152,Jacob,Newman,jacob.newman@email.com,555-682-9043,54815 Andrew Plain,East Nancyberg,NJ,70646,2021-03-25,1961-10-02,,Self-Employed,76962,594,False
C0153,Tara,Wells,tara.wells@email.com,555-500-3869,03805 Savage Mountains Apt. 743,Rodriguezfurt,NE,42654,2019-01-03,2000-05-15,,Employed,62173,639,False
C0154,Maria,Newton,maria.newton@email.com,555-144-4927,018 Barron Forges,North Ashleyberg,HI,45884,2021-07-10,1984-02-14,,Employed,93673,627,False
C0155,Jessica,Cooper,jessica.cooper@email.com,555-880-2986,0438 Santiago Locks,Samanthamouth,MS,20031,2018-08-04,1982-08-17,Aggressive,Self-Employed,61835,696,False
C0156,John,Wilson,john.wilson@email.com,555-754-8567,3119 Laura Island,West Jaime,MO,55043,2020-03-28,1998-05-21,,Employed,39750,712,False
C0157,Elizabeth,Lane,elizabeth.lane@email.com,555-786-8606,834 Jacob Heights Apt. 670,North Coltonton,NY,70470,2018-05-20,1963-09-14,,Employed,120736,655,False
C0158,Katherine,Abbott,katherine.abbott@email.com,555-281-5819,33381 Collins Glens,Moodyfort,DE,80078,2020-03-11,1967-07-22,,Employed,190130,742,False
C0159,James,White,james.white@email.com,555-791-9721,772 Moore Cliff Suite 629,North Justinchester,IN,67941,2021-11-27,1962-02-21,,Self-Employed,170049,768,False
C0160,Amber,Johnson,amber.johnson@email.com,555-415-8274,783 Melinda Crossing,Lake Caseymouth,AR,88407,2018-01-10,1962-03-08,,Self-Employed,63310,754,False
C0161,Mary,Burton,mary.burton@email.com,555-114-6523,9616 Christopher Spurs Suite 038,Jimmyburgh,IL,99123,2021-10-02,1962-11-01,,Employed,114353,747,False
